animal,pos_neg_sentence,pos_sentence,BERT_pos_neg_animals,BERT_pos_animals
pitviper,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, is venomous, doesn't have fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, is a predator, has teeth, is a vertebrate, breathes outside water, is venomous, has a tail.","['ladybird', 'wasp', 'seasnake', 'pitviper', 'slowworm']","['dolphin', 'porpoise', 'frog', 'stingray', 'pitviper']"
platypus,"An animal that has hair, has no feathers, lay eggs, produces milk, isn't airborne, lives in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, lay eggs, produces milk, lives in water, is a predator, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['kiwi', 'penguin', 'frog', 'swan', 'duck']","['skimmer', 'skua', 'sealion', 'mink', 'platypus']"
polecat,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
pony,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal.","['oryx', 'bear', 'aardvark', 'gorilla', 'cavy']","['calf', 'pony', 'goat', 'hamster', 'reindeer']"
porpoise,"An animal that has no hair, has no feathers, don't lay eggs, produces milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins, has a tail.","['sole', 'seasnake', 'seal', 'pitviper', 'slowworm']","['mink', 'seal', 'sealion', 'dolphin', 'porpoise']"
puma,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
pussycat,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, is a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal.","['goat', 'hamster', 'calf', 'pony', 'reindeer']","['hamster', 'calf', 'pony', 'girl', 'pussycat']"
raccoon,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
reindeer,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, is a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail, is a domestic animal.","['oryx', 'bear', 'aardvark', 'gorilla', 'cavy']","['calf', 'pony', 'goat', 'hamster', 'reindeer']"
rhea,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['gorilla', 'wasp', 'ladybird', 'tortoise', 'ostrich']","['vulture', 'skua', 'skimmer', 'gull', 'penguin']"
scorpion,"An animal that has no hair, has no feathers, don't lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, is a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, is venomous, doesn't have fins, has 8 legs, has a tail, isn't a domestic animal.","An animal that is a predator, breathes outside water, is venomous, has 8 legs, has a tail.","['moth', 'housefly', 'ladybird', 'gnat', 'scorpion']","['newt', 'scorpion', 'stingray', 'pitviper', 'frog']"
seahorse,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, isn't a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail.","['sole', 'haddock', 'seahorse', 'slowworm', 'seawasp']","['piranha', 'tuna', 'pike', 'herring', 'bass']"
seal,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, has fins, doesn't have legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins.","['haddock', 'seal', 'seasnake', 'pitviper', 'slowworm']","['mink', 'sealion', 'porpoise', 'dolphin', 'seal']"
sealion,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, has fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, lives in water, is a predator, has teeth, is a vertebrate, breathes outside water, has fins, has 2 legs, has a tail.","['pony', 'hamster', 'penguin', 'vampire', 'fruitbat']","['skimmer', 'gull', 'platypus', 'mink', 'sealion']"
seasnake,"An animal that has no hair, has no feathers, don't lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, is venomous, doesn't have fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lives in water, is a predator, has teeth, is a vertebrate, is venomous, has a tail.","['octopus', 'scorpion', 'slowworm', 'seawasp', 'seasnake']","['herring', 'frog', 'seasnake', 'pitviper', 'stingray']"
seawasp,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, doesn't have teeth, isn't a vertebrate, doesn't breathe outside water, is venomous, doesn't have fins, doesn't have legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, is venomous.","['termite', 'slug', 'worm', 'clam', 'seawasp']","['seawasp', 'seasnake', 'frog', 'pitviper', 'stingray']"
skimmer,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, lives in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, lives in water, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['pheasant', 'sparrow', 'lark', 'flamingo', 'wren']","['vulture', 'platypus', 'skua', 'skimmer', 'gull']"
skua,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, lives in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, lives in water, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['pheasant', 'sparrow', 'lark', 'flamingo', 'wren']","['vulture', 'platypus', 'skua', 'skimmer', 'gull']"
slowworm,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, is a predator, has teeth, is a vertebrate, breathes outside water, has a tail.","['moth', 'housefly', 'gnat', 'seawasp', 'slowworm']","['pitviper', 'newt', 'platypus', 'porpoise', 'dolphin']"
slug,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, isn't venomous, doesn't have fins, doesn't have legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, breathes outside water.","['flea', 'seawasp', 'clam', 'slug', 'worm']","['duck', 'dove', 'chicken', 'parakeet', 'slowworm']"
sole,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, isn't a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, has teeth, is a vertebrate, has fins, has a tail.","['sole', 'haddock', 'seahorse', 'slowworm', 'seawasp']","['piranha', 'tuna', 'pike', 'herring', 'bass']"
sparrow,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['housefly', 'tortoise', 'wasp', 'ladybird', 'ostrich']","['swan', 'duck', 'gull', 'skua', 'skimmer']"
squirrel,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['wallaby', 'scorpion', 'tortoise', 'ostrich', 'gorilla']","['squirrel', 'wallaby', 'mink', 'vampire', 'fruitbat']"
starfish,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, doesn't have teeth, isn't a vertebrate, doesn't breathe outside water, isn't venomous, doesn't have fins, has 5 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has 5 legs.","['crab', 'octopus', 'lobster', 'crayfish', 'starfish']","['platypus', 'penguin', 'tuatara', 'frog', 'newt']"
stingray,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, is venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, is venomous, has fins, has a tail.","['tuna', 'piranha', 'slowworm', 'seasnake', 'pitviper']","['dogfish', 'sealion', 'frog', 'pitviper', 'stingray']"
swan,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, lives in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, lives in water, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['flamingo', 'lark', 'pheasant', 'sparrow', 'ostrich']","['duck', 'swan', 'skua', 'skimmer', 'gull']"
termite,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, breathes outside water, has 6 legs.","['crayfish', 'octopus', 'gnat', 'flea', 'termite']","['newt', 'tuatara', 'tortoise', 'frog', 'toad']"
toad,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, has teeth, is a vertebrate, breathes outside water, has 4 legs.","['ostrich', 'crab', 'gnat', 'ladybird', 'tortoise']","['mink', 'penguin', 'platypus', 'frog', 'newt']"
tortoise,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that lay eggs, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['crab', 'housefly', 'moth', 'tortoise', 'gnat']","['frog', 'platypus', 'penguin', 'tuatara', 'newt']"
tuatara,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that lay eggs, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['sparrow', 'rhea', 'kiwi', 'ostrich', 'tortoise']","['mongoose', 'mink', 'tuatara', 'platypus', 'newt']"
tuna,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, lives in water, is a predator, has teeth, is a vertebrate, doesn't breathe outside water, isn't venomous, has fins, doesn't have legs, has a tail, isn't a domestic animal.","An animal that lay eggs, lives in water, is a predator, has teeth, is a vertebrate, has fins, has a tail.","['seasnake', 'seahorse', 'haddock', 'sole', 'slowworm']","['herring', 'catfish', 'chub', 'dogfish', 'stingray']"
vampire,"An animal that has hair, has no feathers, don't lay eggs, produces milk, is airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is airborne, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['pheasant', 'lark', 'flamingo', 'wren', 'gorilla']","['skua', 'sealion', 'mink', 'fruitbat', 'vampire']"
vole,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['giraffe', 'scorpion', 'ostrich', 'tortoise', 'gorilla']","['raccoon', 'polecat', 'mink', 'vampire', 'fruitbat']"
vulture,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, is a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a predator, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['lark', 'sparrow', 'pheasant', 'flamingo', 'wren']","['crow', 'vulture', 'gull', 'skua', 'skimmer']"
wallaby,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, isn't a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, has teeth, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['wallaby', 'scorpion', 'tortoise', 'ostrich', 'gorilla']","['squirrel', 'wallaby', 'mink', 'vampire', 'fruitbat']"
wasp,"An animal that has hair, has no feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, is venomous, doesn't have fins, has 6 legs, doesn't have a tail, isn't a domestic animal.","An animal that has hair, lay eggs, is airborne, breathes outside water, is venomous, has 6 legs.","['ladybird', 'wasp', 'gnat', 'moth', 'housefly']","['gull', 'honeybee', 'platypus', 'wasp', 'frog']"
wolf,"An animal that has hair, has no feathers, don't lay eggs, produces milk, isn't airborne, doesn't live in water, is a predator, has teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 4 legs, has a tail, isn't a domestic animal.","An animal that has hair, produces milk, is a predator, has teeth, is a vertebrate, breathes outside water, has 4 legs, has a tail.","['vole', 'buffalo', 'cavy', 'bear', 'aardvark']","['raccoon', 'lion', 'polecat', 'boar', 'mink']"
worm,"An animal that has no hair, has no feathers, lay eggs, doesn't produce milk, isn't airborne, doesn't live in water, isn't a predator, doesn't have teeth, isn't a vertebrate, breathes outside water, isn't venomous, doesn't have fins, doesn't have legs, doesn't have a tail, isn't a domestic animal.","An animal that lay eggs, breathes outside water.","['flea', 'seawasp', 'clam', 'slug', 'worm']","['duck', 'dove', 'chicken', 'parakeet', 'slowworm']"
wren,"An animal that has no hair, has feathers, lay eggs, doesn't produce milk, is airborne, doesn't live in water, isn't a predator, doesn't have teeth, is a vertebrate, breathes outside water, isn't venomous, doesn't have fins, has 2 legs, has a tail, isn't a domestic animal.","An animal that has feathers, lay eggs, is airborne, is a vertebrate, breathes outside water, has 2 legs, has a tail.","['housefly', 'tortoise', 'wasp', 'ladybird', 'ostrich']","['swan', 'duck', 'gull', 'skua', 'skimmer']"
